Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Ontario (7,67)",Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",507.02,450.93,469.51,484.81,478.14,458.85,472.08,484.81,505.54,499.94,495.41,449.83,448.13,415.32,407.11,390.32,387.74,393.76
"Ontario (7,67)",Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",460,412.4,424.75,439.02,441.49,431.65,449.35,463.96,484.67,478.21,475.06,431.19,434.78,406.35,400.7,390.22,389.69,394.82
"Ontario (7,67)",Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",951.72,814.8,893.23,919.46,824.86,716.21,687.48,683,705.17,709.95,695.47,636.84,585.14,509.71,476.85,391.38,364.92,381
Manitoba,Total violent Criminal Code violations [100]  (16),Actual incidents,23472,25549,27373,26453,26277,26476,26061,25908,25132,24096,24457,26321,27092,25820,25876,23409,22046,23157
Manitoba,Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",2063.45,2236.25,2385.71,2297.39,2271.89,2274.92,2220.67,2198.76,2123.49,2025.95,2041.87,2177.83,2218.96,2092.84,2069.41,1850.01,1722.02,1790.43
Manitoba,Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1140.84,1206.94,1309.64,1301.55,1291.99,1218.43,1192.63,1057.56,1015.81,1059.84,1014.21,1084.39,1146.7,1069.16,1098.04,980.2,878.83,958.77
Manitoba,Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",1083.36,1138.65,1243.29,1222.15,1224.64,1183.26,1147.62,1014.17,951.04,995.56,943.93,1023.38,1063.04,1001.75,1033.89,930.42,850.48,929.29
Manitoba,Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1638.52,1796.69,1885.02,1990.41,1874.27,1522.06,1580.5,1433.19,1575.9,1621.17,1639.76,1638.28,1920.4,1701.07,1712.26,1470.59,1164.64,1261.05
Manitoba,Total property crime violations [200] ,Actual incidents,80795,81720,80071,85744,84500,96014,98037,91872,91927,85228,74127,80879,70200,61354,62040,54469,55363,60863
Manitoba,Total property crime violations [200] ,"Rate per 100,000 population",7102.76,7152.79,6978.64,7446.68,7305.81,8249.91,8353.77,7796.99,7767.23,7165.83,6188.73,6692.02,5749.72,4973.06,4961.59,4304.69,4324.42,4705.74
Manitoba,Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1193.91,1126.55,1020.86,1040.78,981.76,914.77,855.1,737.75,734.87,696.65,631.3,654.48,676,585.48,604.99,545.01,540.37,547.56
Manitoba,Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",806.23,752.64,673.07,693.22,634.85,704.31,663.48,571.76,570.07,530.87,500.54,524.53,539.52,494.44,520.58,471.81,472,472.88
Manitoba,Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",4551.22,4355.85,4037.01,4056.21,3981.08,2731.65,2506.5,2174.92,2160.03,2144.25,1795.09,1834.25,1938.16,1438.98,1413.14,1266.12,1229.73,1313.21
Manitoba,Total other Criminal Code violations [300] ,Actual incidents,16951,14291,16221,19172,19697,23539,25288,21350,20789,21171,21300,21311,23601,24829,24250,23250,21926,21537
Manitoba,Total other Criminal Code violations [300] ,"Rate per 100,000 population",1490.18,1250.86,1413.75,1665.05,1702.99,2022.57,2154.8,1811.93,1756.53,1780.02,1778.3,1763.3,1933.03,2012.52,1939.37,1837.45,1712.64,1665.17
Manitoba,Total other Criminal Code violations [300] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",713.87,606.99,792.1,954.97,1052.24,1046.97,1042.92,753.97,759.02,805.72,826.33,853.39,919.06,965.25,1047.39,979.46,909.94,860.15
Manitoba,Total other Criminal Code violations [300] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",630.38,539.21,735.11,890.08,983.25,1001.15,993.59,705.12,701.28,750.33,768.54,787.66,853.57,900.8,1000.67,937.07,879.74,828.73
Manitoba,Total other Criminal Code violations [300] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1436.91,1192.38,1286.34,1517.94,1648.68,1442.47,1468.02,1176.91,1258.42,1289.44,1340.74,1450.16,1524.68,1569.53,1494.63,1397.06,1214.48,1182.29
Saskatchewan (11),Total violent Criminal Code violations [100]  (16),Actual incidents,22501,24528,26042,27750,28285,31429,28339,26969,26173,26347,25384,25930,26694,25220,23839,22025,22134,22899
Saskatchewan (11),Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",2211.39,2417.25,2584.13,2774.39,2837.58,3153.99,2841.15,2714.33,2637.6,2629.32,2495.12,2505.84,2538.84,2365.08,2192.65,1991.19,1972.23,2019.96
Saskatchewan (11),Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",1027.05,1143.37,1202.72,1280.65,1220.66,1302.46,1241.69,1225.01,1192.75,1242.6,1169.79,1147.51,1160.01,1060.95,1044.73,990.64,1023.3,1074.96
Saskatchewan (11),Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",961.36,1062.47,1109.47,1168.81,1123.25,1204.5,1143.32,1124.69,1108.71,1151.58,1096.25,1094.56,1102.97,1008.56,1002.39,955.93,992.06,1037.69
Saskatchewan (11),Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1529.94,1765.82,1925.95,2155.91,1989.57,2085.16,2041.35,2052.08,1896.82,2027.16,1827.74,1637.44,1702.87,1574.46,1469.94,1349.83,1352.6,1473.01
